"","Mean","SD","Naive.SE","Time.series.SE","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"a0",9.66688022087046,0.137895998059357,0.000796142915997419,0.00255608267223557,9.3971676284082,9.5752386097391,9.66634555506183,9.76021059548662,9.9359824804206,1,2925
"a1",0.379835786897265,0.0438437178116348,0.000253131822808213,0.000707550360254093,0.294371367353165,0.350348218190562,0.380000180307215,0.409003680757313,0.466098855659213,1,3873
"a2",0.369278296546473,0.0486053433287274,0.000280623080548949,0.000974468513214249,0.275386465877006,0.336314395613808,0.368939977006883,0.401894926433516,0.465926589805017,1,2548
"a3",-0.119867901167982,0.0349922318660289,0.000202027744873976,0.000745914022721996,-0.188195905152847,-0.143440415425638,-0.119953515886871,-0.0965263291482197,-0.050333891253859,1,2422
"a4",0.458015011872327,0.0401238582010034,0.000231655203332757,0.000794757684298568,0.378623859367965,0.43143332461589,0.45840712666842,0.484965603282147,0.535312860266654,1,2616
"a5",0.118688876726007,0.0407273641499199,0.000235139546553401,0.000624271181854928,0.0386082314916373,0.0912466222824009,0.118470158114453,0.146185994660061,0.198642505422695,1,4268
"bias.fb",-0.427588077666295,0.0780179483906316,0.000450436835049535,0.000471566901824715,-0.578390382680578,-0.480470316554456,-0.427997049568793,-0.375054239997942,-0.274048828869195,1,27385
"bias.lfs[1]",-0.220780225010231,0.0911112159894938,0.000526030850777284,0.000579402020500333,-0.399360098630442,-0.282330537210262,-0.220964552481373,-0.159328032509205,-0.0411635410258582,1,24863
"bias.lfs[2]",-0.0844834295992157,0.0889314117965636,0.000513445745401594,0.000540072509883935,-0.260419457026087,-0.14409453048843,-0.0841147400091835,-0.024813585470963,0.0904804133531477,1,27120
"bias.lfs[3]",-0.118736247647173,0.0901748317497306,0.000520624633848362,0.000580672390925828,-0.294139621913183,-0.179896967432984,-0.118879309730427,-0.0575571044297097,0.0582138182620331,1,24194
"bias.lfs[4]",0.0267889224237625,0.0898070412228244,0.000518501194251215,0.000616700392460741,-0.148188482245326,-0.0335078554418272,0.0264255542933809,0.0878813360322172,0.200982097057243,1,21232
"bias.lfs[5]",-0.100120531147342,0.0897785766925672,0.000518336854209151,0.00055415584600693,-0.278308799196085,-0.160111689159844,-0.100286606176631,-0.0396083988661691,0.0746220059063324,1,26316
"bias.lfs[6]",-0.149347616562365,0.0910264321015693,0.000525541350772122,0.000741674992000246,-0.325600756359585,-0.210908266511029,-0.148860969000074,-0.0877790482425669,0.0287666984901683,1,15076
"bias.lfs[7]",-0.0971669608719102,0.0918563842309357,0.000530333081625164,0.00111968833416947,-0.276760909083396,-0.159082771216269,-0.0965212223690306,-0.0358634027628397,0.0828877551136859,1,6780
"bias.lfs[8]",-0.14373488076476,0.0900785261225726,0.00052006861305072,0.000651054684459912,-0.319883750008687,-0.204995989935579,-0.143917667110619,-0.0827357711312026,0.0313755765767702,1,19165
"bias.lfs[9]",0.037445919309527,0.09087471900075,0.000524665434776146,0.000759062966687324,-0.140036335720939,-0.0244348736473294,0.0375710289394244,0.0993708472543592,0.215227871054887,1,14567
"bias.lfs[10]",-0.385830028051199,0.0898940996966699,0.000519003826584314,0.000546523501911938,-0.562028379035678,-0.446183014824568,-0.385497448240218,-0.326143500853377,-0.209646443257589,1,27080
"bias.lfs[11]",-0.522916227723949,0.0903578197860134,0.000521681115768425,0.000545931931893113,-0.699635158902964,-0.58388797296399,-0.52272264034246,-0.461657171340926,-0.345902732293263,1,27396
"bias.lfs[12]",-0.212239279153087,0.0914898083444236,0.000528216654757602,0.00125275857526833,-0.391462133608028,-0.273845778420765,-0.212121606703318,-0.150985419590475,-0.0331226743823606,1,6613
"bias.lfs[13]",-0.265808026963204,0.0907629960640548,0.00052402040210039,0.00077313508962624,-0.442540222119949,-0.32675704494964,-0.265683672684596,-0.205518199723504,-0.085538816476688,1,13787
"bias.lfs[14]",-0.266832986011077,0.0905214942841028,0.000522626090923739,0.000642363912322682,-0.444662971660536,-0.327992157110746,-0.266367316323307,-0.205191592708294,-0.0899210088343545,1,19963
"bias.lfs[15]",-0.234988043942526,0.0936264079759981,0.000540552318482002,0.00239647780524847,-0.418188622380178,-0.298271930127423,-0.235087313673731,-0.171985396873565,-0.0529768378854648,1,1844
"bias.lfs[16]",-0.25560064852093,0.0894936163321968,0.000516691634801469,0.000706953683597781,-0.433595068117394,-0.315467359304307,-0.2550395410547,-0.195320253227814,-0.0822556208128329,1,16086
"bias.lfs[17]",-0.536281399185054,0.0951152356435714,0.000549148069028506,0.00171396666180132,-0.723374234702665,-0.600654460657369,-0.536202379998071,-0.471646366671501,-0.351465091618724,1,3267
"bias.lfs[18]",-0.232350337812335,0.0900066291609567,0.000519653515749292,0.000629822805145002,-0.410651807408781,-0.292820335448223,-0.231987007120815,-0.171148647027566,-0.0566927559853788,1,20579
"bias.lfs[19]",-0.375785287417613,0.0905075297155615,0.000522545466449675,0.000667720901250116,-0.552500800315045,-0.436246843408769,-0.375730167908828,-0.314921710370985,-0.197615272766759,1,18699
"bias.lfs[20]",-0.155136432864048,0.0920232616122456,0.000531296548635373,0.000599679761578562,-0.335321234269373,-0.216251555566839,-0.155213183286961,-0.0929543749772795,0.0241247216038101,1,23670
"bias.lfs[21]",-0.152478334317378,0.0918538568626295,0.000530318489857445,0.00059064006891701,-0.333480105993253,-0.213876669973997,-0.152033606629979,-0.0909196094086608,0.0283817978440235,1,24828
"bias.lfs[22]",-0.0435053041095348,0.0900497338219811,0.000519902380625749,0.000560518700339756,-0.219035839087881,-0.104586617465493,-0.0439086422702491,0.0180298446148552,0.133089816179723,1,25979
"bias.lfs[23]",-0.0748998064196932,0.0902526476068319,0.000521073903908808,0.00057522571712485,-0.253824762716021,-0.135751178975181,-0.0748278142408165,-0.0130218053900959,0.100001381678885,1,24642
"bias.lfs[24]",-0.0365793444540698,0.0900975464108869,0.000520178426736503,0.000685560162811988,-0.214395646787308,-0.0975820501020052,-0.0360834180566162,0.0241004061043015,0.13959146487232,1,17653
"bias.lfs[25]",0.00175221694027995,0.0897396938459182,0.000518112363989355,0.000566216720580165,-0.173048894918757,-0.0591350474172903,0.00155034623175565,0.0624720667420851,0.178948157130586,1,25162
"bias.lfs[26]",-0.171546422326738,0.0906627887985385,0.000523441855183184,0.000721127473275232,-0.349172794670903,-0.232549660805384,-0.170935823964357,-0.110606487592869,0.00669870411636226,1,15850
"bias.lfs[27]",0.000252320301799031,0.0923646096678584,0.000533267322553327,0.0010991198760768,-0.18023727279551,-0.0613069340590146,-0.0000439558884448576,0.0623749610945355,0.182717332108155,1,7228
"bias.lfs[28]",-0.234151955080162,0.0903462850365728,0.00052161451986148,0.00066824906375052,-0.41179378045395,-0.294640401800115,-0.234177050226739,-0.173591451607753,-0.0574693455274068,1,18832
"bias.lfs[29]",0.0477442127513767,0.0901303673364687,0.000520367918438701,0.000728160688078727,-0.130409852818416,-0.0122004682982874,0.0477902560106437,0.109131930707258,0.224006140419074,1,15511
"bias.lfs[30]",-0.373845627809101,0.0901977407258345,0.000520756898883566,0.000558421901309501,-0.550797202682935,-0.434628621640661,-0.373859712649606,-0.313121044617342,-0.197228213367243,1,26104
"bias.lfs[31]",-0.339929428504711,0.0902248481894722,0.000520913403897849,0.00054412190498931,-0.515348721110089,-0.401051711719939,-0.340121186749111,-0.278639518074069,-0.16270019343345,1,27522
"bias.lfs[32]",-0.313892072883158,0.0940363884780079,0.000542919342013981,0.00159701767126864,-0.498498804967005,-0.377187022994044,-0.313526662941676,-0.251404593726449,-0.128694430085468,1,5348
"bias.lfs[33]",-0.304072208867675,0.0912050469828753,0.000526572584270155,0.000779172125716808,-0.48226982541003,-0.365144541055297,-0.303847342673217,-0.243048788532972,-0.126837550813907,1,13740
"bias.lfs[34]",-0.232523025025742,0.090114164213188,0.000520274369662822,0.00065661286413698,-0.408376971314591,-0.293348048034815,-0.232837987319047,-0.171880585839352,-0.0553190776442597,1,18974
"bias.lfs[35]",-0.270222688174975,0.0925592848052031,0.000534391279982833,0.00274274794101936,-0.451031025546426,-0.332763939208687,-0.270281406013736,-0.208559841633286,-0.0877773033578681,1,2139
"bias.lfs[36]",-0.173654725134082,0.0903750397531844,0.000521780535295241,0.000705113932720383,-0.350603565142364,-0.234686170920419,-0.174325634599759,-0.11287202456929,0.00485387603289235,1,16522
"bias.lfs[37]",-0.314106400448847,0.0918463157958099,0.000530274951487862,0.00148732617939088,-0.493986869573541,-0.376039733670155,-0.314636230570144,-0.25217558557396,-0.132749772151277,1,4108
"bias.lfs[38]",-0.351020381875902,0.0897613318095397,0.000518237290830571,0.00062270702762933,-0.528657701884433,-0.410914857752051,-0.351049107826505,-0.291224748137068,-0.173877534079012,1,21186
"bias.lfs[39]",-0.415964257191674,0.0915169241771245,0.000528373208090694,0.000725921134533643,-0.594904644722957,-0.478131175394997,-0.416497584697993,-0.353745429163706,-0.236364037549039,1,16551
"bias.lfs[40]",-0.180745835019767,0.0920238883790643,0.000531300167275289,0.000615665995878849,-0.361423155044777,-0.243027138055651,-0.180029443277545,-0.118629250526592,0.000151158515919324,1,23104
"cov.fb[1]",0.686590316026159,0.0970082849077363,0.000560077594051055,0.00056005883925295,0.495810838424857,0.621121832136003,0.686678605547836,0.751635140991911,0.877069883514607,1,30000
"cov.fb[2]",0.331284560202263,0.0970010238950396,0.000560035672574704,0.000553129742446281,0.142198275024631,0.265339779916141,0.331237842444424,0.39729388823381,0.520468640168149,1,30777
"cov.fb[3]",0.589161040651393,0.0973431791411581,0.000562011106809216,0.00056814085048246,0.399439109794946,0.523165243330392,0.589209082820961,0.65571783410695,0.78054589565378,1,29387
"cov.fb[4]",0.637550266494161,0.0973122396972728,0.000561832477846658,0.000561832621085516,0.448030484290419,0.5714214343289,0.636965228985035,0.703055531554505,0.828717308544103,1,30000
"cov.fb[5]",0.33548235490928,0.098084595616861,0.000566291676827503,0.000571965628957173,0.145131888584354,0.268853056173734,0.335776152714924,0.401160415960984,0.528477389572678,1,29430
"cov.fb[6]",0.501997267352828,0.0974436029738179,0.000562590904077408,0.000570738445465348,0.309353204946546,0.436748767291539,0.502089443149563,0.568046435753691,0.692878525591838,1,29206
"cov.fb[7]",0.808730593335104,0.0972491836479599,0.00056146842357621,0.000564193715399174,0.617398277519798,0.743869303663747,0.809752908650524,0.873413828535248,0.998927323151189,1,29713
"cov.fb[8]",0.436445455554101,0.0974575419662264,0.000562671380887601,0.000572720961292849,0.245595593558372,0.370482178639777,0.435816649919893,0.502597141853939,0.627767447369124,1,29027
"cov.fb[9]",0.459136820744506,0.09801055165304,0.000565864183803064,0.000556608270081839,0.266730939407336,0.392814335037351,0.458711561759628,0.52598465322143,0.649192696896745,1,31038
"cov.fb[10]",0.265996634210204,0.0968444785352351,0.000559131857518469,0.000566926859158179,0.0770739144658118,0.200622428556799,0.265902268487782,0.3316673028514,0.457275508961853,1,29195
"cov.fb[11]",0.476857251149534,0.0967225198854874,0.000558427728925851,0.000558430369525833,0.286697628298922,0.412356529844172,0.47758135080113,0.542132988177599,0.665553728155707,1,30000
"cov.fb[12]",0.316812019440806,0.0975377749638205,0.000563134606315189,0.000557078780685945,0.126821050479622,0.250918301973772,0.317392339178482,0.382946081803137,0.508168117987558,1,30688
"cov.fb[13]",0.570541263296807,0.0972241589936509,0.000561323943667193,0.000566370031569452,0.380833742335534,0.50480241037058,0.570961909895055,0.635801739376453,0.76146228345277,1,29485
"cov.fb[14]",0.434047046491334,0.0971278187974861,0.000560767723285298,0.000570656132206404,0.241317772922783,0.368560003202734,0.434619911023636,0.499862373396005,0.623799151334081,1,29042
"cov.fb[15]",0.679560628367812,0.097571725836178,0.000563330621768137,0.000583324136657799,0.4877191892925,0.613689686456064,0.679553488568487,0.745230529063493,0.86870728069389,1,28229
"cov.fb[16]",0.407826811363091,0.0969179259489061,0.000559555906359011,0.000559079053074697,0.21836745863393,0.341559294561838,0.408157232755111,0.472842305001897,0.598967942905091,1,30053
"cov.fb[17]",0.525165611591706,0.0967883240448139,0.00055880764941686,0.000558810355611131,0.334884982050817,0.460206620307195,0.524856045570777,0.590077818946717,0.714161469029098,1,30000
"cov.fb[18]",0.625285447177604,0.097907824645626,0.000565271089149229,0.000555250283412857,0.434594468335586,0.559113837706986,0.625335403439909,0.690951374099682,0.81610826860995,1,31128
"cov.fb[19]",0.559823348950689,0.0974376628004409,0.000562556608470425,0.000562566125496739,0.369300760001455,0.494245445298018,0.560000701610799,0.625232807336687,0.752615947721124,1,30000
"cov.fb[20]",0.533436763358536,0.0988775328890443,0.000570869702302958,0.000570871561945133,0.338708480963147,0.466702125113892,0.533387030100846,0.599440119379102,0.727796055413425,1,30000
"cov.fb[21]",0.629434564609801,0.0980176195279328,0.000565904990197783,0.000568048417438912,0.438974193236849,0.562717170768423,0.628876171105163,0.69610930635901,0.821564343776286,1,29781
"cov.fb[22]",0.296094666721119,0.0972845942650957,0.000561672866869565,0.000561667872899571,0.104867809022936,0.230106310802057,0.29670918503408,0.362249373588624,0.485876829615862,1,30000
"cov.fb[23]",0.545363277086474,0.0968492940884023,0.000559159660127643,0.000559176319957065,0.356446852130321,0.479887826686706,0.546406328852149,0.61047784329988,0.735807704511019,1,30000
"cov.fb[24]",0.561070117409853,0.0969229514342208,0.000559584921012004,0.000559596491985104,0.369865656231845,0.495755406945098,0.561351638685321,0.626973495580469,0.749381104788868,1,30000
"cov.fb[25]",0.284432620398481,0.096747780075254,0.000558573568699466,0.00055849301493916,0.0966633005162825,0.219616920118848,0.283744819868703,0.349882827505504,0.476773176107621,1,30000
"cov.fb[26]",0.464026593794777,0.097645433185397,0.000563756171347266,0.000563761165010016,0.272659896492176,0.398297728018404,0.464213322799045,0.529417760736418,0.65624363759039,1,30000
"cov.fb[27]",0.797284329127086,0.0981156497455672,0.000566470967923183,0.000566453830432039,0.605404869886087,0.73082341025839,0.796799538113394,0.863285772780542,0.988817574806611,1,30000
"cov.fb[28]",0.355890941827336,0.0974506461633243,0.000562631567950983,0.000557834902201811,0.164961440122384,0.289725281469272,0.356977644692292,0.421443918308107,0.546384242988066,1,30537
"cov.fb[29]",0.379359726546174,0.0973652765617116,0.000562138686326265,0.000559098092653611,0.190107412958761,0.313970228544677,0.379385970246894,0.445729776074945,0.570332742902292,1,30339
"cov.fb[30]",0.199248243539248,0.0974650901674489,0.000562714960447678,0.000560297027084845,0.00847459041313908,0.133686616417157,0.199125185537255,0.264966981607254,0.390616650124422,1,30351
"cov.fb[31]",0.429508296560055,0.0973297331860316,0.000561933476551098,0.000563608210996299,0.24053396888556,0.363179293497974,0.429375376860504,0.495308652606175,0.619676535750791,1,29827
"cov.fb[32]",0.28661522031887,0.0973765791742324,0.00056220394199008,0.000578404643156314,0.0949990485854683,0.220640264567305,0.287005336844071,0.351990716775133,0.477288915707778,1,28510
"cov.fb[33]",0.498596729812465,0.0975607375136049,0.000563267180658182,0.000566029211893988,0.307122019175677,0.433086429320482,0.499656477240448,0.564419344972374,0.689368674398899,1,29712
